tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Horma Kanyonu - Kastamonu_temp,Horma Kanyonu - Kastamonu_prcp,Horma Kanyonu - Kastamonu_snow,Horma Kanyonu - Kastamonu_rain,Horma Kanyonu - Kastamonu_wspd,Horma Kanyonu - Kastamonu_rhum
2024.01.01 - 2024.01.07,0.0,0.0,,160.0,7.63,0.0,0.0,0.0,8.57,78.11
2024.01.08 - 2024.01.14,320.0,2.0,5.0,160.0,8.34,33.56,0.0,33.56,12.53,72.68
2024.01.15 - 2024.01.21,320.0,2.0,5.0,160.0,0.94,17.9,13.12,4.78,12.34,78.13
2024.01.22 - 2024.01.28,320.0,2.0,4.0,160.0,5.22,19.53,12.87,6.66,12.58,79.27
2024.01.29 - 2024.02.04,480.0,3.0,5.0,160.0,0.5,29.08,21.86,7.22,11.35,81.95
2024.02.05 - 2024.02.11,160.0,1.0,5.0,160.0,2.45,6.57,2.9,3.67,12.1,77.01
2024.02.12 - 2024.02.18,320.0,2.0,5.0,160.0,11.5,0.58,0.0,0.58,13.19,58.52
2024.02.19 - 2024.02.25,640.0,4.0,4.5,160.0,5.81,20.32,0.0,20.32,9.6,86.67
2024.02.26 - 2024.03.03,480.0,3.0,4.5,160.0,6.79,3.17,0.0,3.17,7.54,74.05
2024.03.04 - 2024.03.10,320.0,2.0,3.0,160.0,7.77,0.81,0.0,0.81,6.71,81.13
2024.03.11 - 2024.03.17,960.0,6.0,4.83,160.0,5.29,37.31,0.0,37.31,9.16,83.96
2024.03.18 - 2024.03.24,320.0,2.0,5.0,160.0,7.35,22.27,0.0,22.27,7.64,82.45
2024.03.25 - 2024.03.31,320.0,2.0,5.0,160.0,4.83,36.45,8.66,27.79,11.49,80.88
2024.04.01 - 2024.04.07,0.0,0.0,,160.0,12.01,4.11,0.0,4.11,11.47,63.25
2024.04.08 - 2024.04.14,1120.0,7.0,5.0,160.0,11.7,1.97,0.0,1.97,10.72,65.43
2024.04.15 - 2024.04.21,9600.0,60.0,4.98,160.0,12.48,0.0,0.0,0.0,10.46,76.95
2024.04.22 - 2024.04.28,4160.0,26.0,4.83,160.0,15.31,4.23,0.0,4.23,12.97,62.75
2024.04.29 - 2024.05.05,3520.0,22.0,4.95,160.0,15.31,6.97,0.0,6.97,9.49,74.39
2024.05.06 - 2024.05.12,1920.0,12.0,4.88,160.0,10.64,33.19,0.0,33.19,8.77,87.05
2024.05.13 - 2024.05.19,1920.0,12.0,4.43,160.0,12.36,10.92,0.0,10.92,9.72,75.07
2024.05.20 - 2024.05.26,1920.0,12.0,5.0,160.0,12.07,3.79,0.0,3.79,8.75,78.67
2024.05.27 - 2024.06.02,2240.0,14.0,4.67,160.0,14.95,7.49,0.0,7.49,9.19,79.94
2024.06.03 - 2024.06.09,1760.0,11.0,5.0,160.0,18.44,6.27,0.0,6.27,8.07,73.33
2024.06.10 - 2024.06.16,2720.0,17.0,4.56,160.0,21.51,0.83,0.0,0.83,8.53,70.32
2024.06.17 - 2024.06.23,2720.0,17.0,4.64,160.0,21.79,4.81,0.0,4.81,10.58,67.85
2024.06.24 - 2024.06.30,11040.0,69.0,4.64,160.0,21.33,0.0,0.0,0.0,8.73,68.95
2024.07.01 - 2024.07.07,7360.0,46.0,4.95,160.0,20.34,0.34,0.0,0.34,10.69,69.62
2024.07.08 - 2024.07.14,6400.0,40.0,4.84,160.0,21.38,7.75,0.0,7.75,10.75,72.73
2024.07.15 - 2024.07.21,7200.0,45.0,4.85,160.0,22.71,13.81,0.0,13.81,10.58,75.44
2024.07.22 - 2024.07.28,9440.0,59.0,4.53,160.0,24.67,3.14,0.0,3.14,10.82,72.15
2024.07.29 - 2024.08.04,8800.0,55.0,4.97,160.0,22.25,43.35,0.0,43.35,10.68,74.99
2024.08.05 - 2024.08.11,7680.0,48.0,4.9,160.0,22.09,2.42,0.0,2.42,10.33,71.3
2024.08.12 - 2024.08.18,11840.0,74.0,4.93,160.0,22.54,1.06,0.0,1.06,9.88,72.85
2024.08.19 - 2024.08.25,8160.0,51.0,4.74,160.0,21.19,0.0,0.0,0.0,9.51,66.83
2024.08.26 - 2024.09.01,9280.0,58.0,4.94,160.0,21.93,10.1,0.0,10.1,10.68,75.64
2024.09.02 - 2024.09.08,8640.0,54.0,4.92,160.0,17.1,2.5,0.0,2.5,9.32,77.2
2024.09.09 - 2024.09.15,8160.0,51.0,4.9,160.0,18.38,22.04,0.0,22.04,9.31,83.17
2024.09.16 - 2024.09.22,6880.0,43.0,5.0,160.0,21.25,17.49,0.0,17.49,9.12,75.63
2024.09.23 - 2024.09.29,2880.0,18.0,4.79,160.0,16.37,31.82,0.0,31.82,10.81,84.19
2024.09.30 - 2024.10.06,4000.0,25.0,5.0,160.0,18.02,15.31,0.0,15.31,8.75,78.42
2024.10.07 - 2024.10.13,2400.0,15.0,4.93,160.0,16.1,40.93,0.0,40.93,10.95,78.73
2024.10.14 - 2024.10.20,3040.0,19.0,4.93,160.0,15.74,15.31,0.0,15.31,8.71,82.74
2024.10.21 - 2024.10.27,2240.0,14.0,4.83,160.0,8.75,72.72,0.0,72.72,12.93,86.79
2024.10.28 - 2024.11.03,2240.0,14.0,4.2,160.0,9.8,1.83,0.0,1.83,9.38,84.19
2024.11.04 - 2024.11.10,4480.0,28.0,4.86,160.0,9.35,13.76,0.0,13.76,10.06,83.36
2024.11.11 - 2024.11.17,3680.0,23.0,4.96,160.0,6.16,4.55,0.0,4.55,8.55,83.95
2024.11.18 - 2024.11.24,2400.0,15.0,4.92,160.0,8.64,20.51,0.0,20.51,5.5,91.08
2024.11.25 - 2024.12.01,1280.0,8.0,5.0,160.0,8.06,51.33,6.32,45.01,12.6,82.68
2024.12.02 - 2024.12.08,640.0,4.0,5.0,160.0,4.47,8.27,0.0,8.27,9.02,88.84
2024.12.09 - 2024.12.15,320.0,2.0,5.0,160.0,6.35,3.28,0.0,3.28,8.27,83.93
2024.12.16 - 2024.12.22,320.0,2.0,5.0,160.0,5.02,17.33,0.0,17.33,12.0,84.1
2024.12.23 - 2024.12.29,160.0,1.0,5.0,160.0,6.56,8.62,0.0,8.62,11.58,84.88
2024.12.30 - 2025.01.05,480.0,3.0,5.0,160.0,6.23,15.0,0.0,15.0,6.97,83.74
2025.01.06 - 2025.01.12,505.0,4.0,5.0,131.1,4.06,10.59,0.0,10.59,9.83,81.79
2025.01.13 - 2025.01.19,884.0,7.0,5.0,126.28,6.42,15.91,0.0,15.91,9.03,81.39
2025.01.20 - 2025.01.26,757.0,6.0,4.3,126.28,4.45,12.29,0.0,12.29,10.78,87.27
2025.01.27 - 2025.02.02,1010.0,8.0,5.0,126.28,5.89,8.2,0.0,8.2,6.77,86.89
2025.02.03 - 2025.02.09,1137.0,9.0,5.0,126.28,4.88,2.17,0.0,2.17,8.77,81.02
2025.02.10 - 2025.02.16,1136.0,9.0,5.0,126.28,-0.32,41.2,41.2,0.0,10.03,91.75
2025.02.17 - 2025.02.23,379.0,3.0,5.0,126.28,1.67,28.57,21.26,7.31,8.75,88.93
2025.02.24 - 2025.03.02,631.0,5.0,5.0,126.28,-3.41,52.32,52.32,0.0,10.28,87.43
2025.03.03 - 2025.03.09,378.0,3.0,5.0,126.28,1.48,12.91,2.95,9.96,9.33,82.35
2025.03.10 - 2025.03.16,0.0,0.0,,126.28,4.63,0.21,0.0,0.21,8.8,74.85
2025.03.17 - 2025.03.23,505.0,4.0,4.67,126.28,14.38,0.0,0.0,0.0,10.57,48.13
2025.03.24 - 2025.03.30,757.0,6.0,4.9,126.28,4.02,0.0,0.0,0.0,9.07,78.39
2025.03.31 - 2025.04.06,1136.0,9.0,5.0,126.28,11.86,5.7,0.0,5.7,7.51,73.45
2025.04.07 - 2025.04.13,3915.0,31.0,4.88,126.28,8.1,22.75,0.0,22.75,9.08,89.79
2025.04.14 - 2025.04.20,2399.0,19.0,4.94,126.28,2.51,37.53,12.71,24.82,12.71,81.57
2025.04.21 - 2025.04.27,1137.0,9.0,5.0,126.28,8.96,4.97,0.0,4.97,7.26,82.35
2025.04.28 - 2025.05.04,1262.0,10.0,4.93,126.28,8.93,24.51,0.0,24.51,6.98,88.23
2025.05.05 - 2025.05.11,2148.0,17.0,4.32,126.28,8.96,5.08,0.0,5.08,8.15,78.51
2025.05.12 - 2025.05.18,3535.0,28.0,4.89,126.28,13.57,16.37,0.0,16.37,8.82,78.24
2025.05.19 - 2025.05.25,3788.0,30.0,4.93,126.28,11.47,9.34,0.0,9.34,10.42,75.72
2025.05.26 - 2025.06.01,3156.0,25.0,4.93,126.28,16.37,5.51,0.0,5.51,10.22,68.09
2025.06.02 - 2025.06.08,4040.0,32.0,4.86,126.28,14.48,10.73,0.0,10.73,9.29,82.56
2025.06.09 - 2025.06.15,5684.0,45.0,4.8,126.28,17.3,0.06,0.0,0.06,8.84,70.72
2025.06.16 - 2025.06.22,8841.0,70.0,4.86,126.28,17.77,1.19,0.0,1.19,10.84,77.7
2025.06.23 - 2025.06.29,3915.0,31.0,4.79,126.28,17.86,1.02,0.0,1.02,10.88,66.96
2025.06.30 - 2025.07.06,7704.0,61.0,4.78,126.28,19.44,7.51,0.0,7.51,10.69,59.72
2025.07.07 - 2025.07.13,8461.0,67.0,4.93,126.28,18.59,4.05,0.0,4.05,11.23,70.14
2025.07.14 - 2025.07.20,9976.0,79.0,4.77,126.28,21.65,0.8,0.0,0.8,10.35,72.17
2025.07.21 - 2025.07.27,8967.0,71.0,4.85,126.28,21.76,2.18,0.0,2.18,9.93,68.25
2025.07.28 - 2025.08.03,9977.0,79.0,4.91,126.28,22.82,0.0,0.0,0.0,9.72,60.91
2025.08.04 - 2025.08.10,9977.0,79.0,4.87,126.28,22.34,9.69,0.0,9.69,9.35,77.53
2025.08.11 - 2025.08.17,10228.0,81.0,4.69,126.28,22.29,0.95,0.0,0.95,10.34,72.14
2025.08.18 - 2025.08.24,11238.0,89.0,4.51,126.28,20.14,0.04,0.0,0.04,9.84,69.27
2025.08.25 - 2025.08.31,13891.0,110.0,4.78,126.28,19.88,2.12,0.0,2.12,11.04,74.25
2025.09.01 - 2025.09.07,12375.0,98.0,4.83,126.28,19.49,0.0,0.0,0.0,10.91,67.82
2025.09.08 - 2025.09.14,6946.0,55.0,4.69,126.28,18.68,12.9,0.0,12.9,10.94,77.16
2025.09.15 - 2025.09.21,4673.0,37.0,4.67,126.28,17.05,2.23,0.0,2.23,11.56,76.48
2025.09.22 - 2025.09.28,4547.0,36.0,4.84,126.28,14.75,26.81,0.0,26.81,14.72,72.89
2025.09.29 - 2025.10.05,4042.0,32.0,4.91,126.28,13.81,21.85,0.0,21.85,9.91,75.64
2025.10.06 - 2025.10.12,3409.0,27.0,4.97,126.28,13.89,14.98,0.0,14.98,11.07,76.68
2025.10.13 - 2025.10.19,3158.0,25.0,4.93,126.28,11.48,47.38,0.0,47.38,14.8,79.77
2025.10.20 - 2025.10.26,2400.0,19.0,4.96,126.28,10.86,21.67,0.0,21.67,9.89,84.65
2025.10.27 - 2025.11.02,2272.0,18.0,4.9,126.28,12.39,13.02,0.0,13.02,10.82,79.04
2025.11.03 - 2025.11.09,3536.0,28.0,4.85,126.28,10.41,25.27,0.0,25.27,10.77,72.64
2025.11.10 - 2025.11.16,4295.0,34.0,4.87,126.28,11.85,0.81,0.0,0.81,7.89,79.78
2025.11.17 - 2025.11.23,4925.0,39.0,4.88,126.28,8.27,18.48,0.0,18.48,10.57,80.77
2025.11.24 - 2025.11.30,3662.0,29.0,4.58,126.28,12.14,8.11,0.0,8.11,11.84,60.64
2025.12.01 - 2025.12.07,2399.0,19.0,4.67,126.28,8.89,9.49,0.0,9.49,10.15,78.27
2025.12.08 - 2025.12.14,1010.0,8.0,4.47,126.28,7.45,9.82,0.0,9.82,9.54,76.02
2025.12.15 - 2025.12.21,1390.0,11.0,4.83,126.28,5.4,43.77,0.0,43.77,12.34,88.83
2025.12.22 - 2025.12.28,758.0,6.0,5.0,126.28,3.7,12.62,0.0,12.62,10.41,78.19
2025.12.29 - 2026.01.04,631.0,5.0,3.88,126.28,2.21,71.01,59.23,11.78,13.59,87.27
2026.01.05 - 2026.01.11,126.0,1.0,5.0,126.28,-0.19,23.32,23.32,0.0,15.68,76.64
