tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Hıdırnebi yaylası - Trabzon_temp,Hıdırnebi yaylası - Trabzon_prcp,Hıdırnebi yaylası - Trabzon_snow,Hıdırnebi yaylası - Trabzon_rain,Hıdırnebi yaylası - Trabzon_wspd,Hıdırnebi yaylası - Trabzon_rhum
2022.01.03 - 2022.01.09,113.0,1.0,5.0,113.12,-1.16,7.44,7.44,0.0,8.66,78.6
2022.01.10 - 2022.01.16,226.0,2.0,5.0,113.12,1.42,3.05,2.74,0.31,9.58,63.69
2022.01.17 - 2022.01.23,0.0,0.0,,113.12,-2.56,14.86,13.18,1.68,11.4,74.3
2022.01.24 - 2022.01.30,0.0,0.0,,113.12,-4.54,13.09,13.09,0.0,12.8,68.46
2022.01.31 - 2022.02.06,0.0,0.0,,113.12,-4.72,10.82,10.82,0.0,9.58,69.17
2022.02.07 - 2022.02.13,113.0,1.0,5.0,113.12,-0.42,7.32,7.19,0.13,13.27,65.69
2022.02.14 - 2022.02.20,113.0,1.0,3.0,113.12,-0.56,6.55,3.74,2.81,10.48,68.53
2022.02.21 - 2022.02.27,113.0,1.0,5.0,113.12,-1.24,2.75,2.75,0.0,7.05,74.39
2022.02.28 - 2022.03.06,0.0,0.0,,113.12,1.6,4.06,3.93,0.13,9.78,78.46
2022.03.07 - 2022.03.13,226.0,2.0,5.0,113.12,-1.49,15.58,15.58,0.0,9.75,77.61
2022.03.14 - 2022.03.20,0.0,0.0,,113.12,-5.22,24.12,24.12,0.0,11.39,81.35
2022.03.21 - 2022.03.27,0.0,0.0,,113.12,-6.14,17.91,17.91,0.0,10.14,80.54
2022.03.28 - 2022.04.03,0.0,0.0,,113.12,-2.16,3.12,3.12,0.0,8.25,74.25
2022.04.04 - 2022.04.10,339.0,3.0,4.67,113.12,6.06,0.43,0.0,0.43,11.94,54.84
2022.04.11 - 2022.04.17,0.0,0.0,,113.12,4.54,7.41,0.25,7.16,9.34,76.57
2022.04.18 - 2022.04.24,226.0,2.0,5.0,113.12,2.4,10.18,10.15,0.03,9.87,70.04
2022.04.25 - 2022.05.01,0.0,0.0,,113.12,4.2,2.89,0.0,2.89,9.27,80.98
2022.05.02 - 2022.05.08,226.0,2.0,5.0,113.12,5.81,6.22,0.0,6.22,7.06,84.54
2022.05.09 - 2022.05.15,678.0,6.0,4.88,113.12,3.76,13.59,0.0,13.59,8.55,89.42
2022.05.16 - 2022.05.22,1582.0,14.0,4.15,113.12,6.78,4.46,0.0,4.46,6.86,71.94
2022.05.23 - 2022.05.29,2148.0,19.0,4.55,113.12,7.53,6.66,0.0,6.66,9.73,70.32
2022.05.30 - 2022.06.05,2148.0,19.0,4.62,113.12,9.26,3.45,0.0,3.45,7.23,76.31
2022.06.06 - 2022.06.12,1921.0,17.0,4.11,113.12,14.79,2.31,0.0,2.31,7.74,79.72
2022.06.13 - 2022.06.19,2147.0,19.0,4.95,113.12,13.98,21.22,0.0,21.22,7.43,84.39
2022.06.20 - 2022.06.26,2715.0,24.0,4.39,113.12,14.07,20.29,0.0,20.29,7.14,78.36
2022.06.27 - 2022.07.03,3280.0,29.0,4.8,113.12,12.53,31.25,0.0,31.25,9.21,75.82
2022.07.04 - 2022.07.10,4412.0,39.0,4.58,113.12,14.07,8.42,0.0,8.42,9.33,75.58
2022.07.11 - 2022.07.17,4637.0,41.0,4.64,113.12,16.37,6.27,0.0,6.27,7.56,74.15
2022.07.18 - 2022.07.24,8711.0,77.0,4.41,113.12,15.38,22.9,0.0,22.9,10.06,74.86
2022.07.25 - 2022.07.31,8370.0,74.0,4.6,113.12,14.67,9.53,0.0,9.53,10.83,69.07
2022.08.01 - 2022.08.07,9955.0,88.0,4.58,113.12,17.59,0.08,0.0,0.08,7.38,68.85
2022.08.08 - 2022.08.14,14252.0,126.0,4.47,113.12,17.93,7.83,0.0,7.83,7.59,76.8
2022.08.15 - 2022.08.21,14706.0,130.0,4.41,113.12,19.08,7.91,0.0,7.91,7.49,75.51
2022.08.22 - 2022.08.28,12330.0,109.0,4.6,113.12,19.11,22.51,0.0,22.51,7.99,76.74
2022.08.29 - 2022.09.04,9615.0,85.0,4.47,113.12,20.36,4.65,0.0,4.65,7.26,71.93
2022.09.05 - 2022.09.11,8032.0,71.0,4.6,113.12,19.11,17.82,0.0,17.82,9.61,70.08
2022.09.12 - 2022.09.18,5202.0,46.0,4.54,113.12,14.7,6.79,0.0,6.79,11.29,64.36
2022.09.19 - 2022.09.25,4752.0,42.0,4.38,113.12,16.45,24.76,0.0,24.76,9.36,67.43
2022.09.26 - 2022.10.02,3846.0,34.0,4.63,113.12,11.68,47.44,0.0,47.44,9.96,74.66
2022.10.03 - 2022.10.09,3394.0,30.0,4.34,113.12,14.57,16.32,0.0,16.32,8.04,66.15
2022.10.10 - 2022.10.16,3619.0,32.0,4.64,113.12,11.08,53.69,0.0,53.69,8.84,78.63
2022.10.17 - 2022.10.23,2714.0,24.0,4.56,113.12,10.04,11.73,0.0,11.73,7.16,76.44
2022.10.24 - 2022.10.30,3167.0,28.0,4.21,113.12,7.73,32.13,0.0,32.13,9.3,76.71
2022.10.31 - 2022.11.06,2601.0,23.0,4.75,113.12,7.7,2.22,0.0,2.22,9.01,68.7
2022.11.07 - 2022.11.13,1244.0,11.0,4.57,113.12,6.75,9.66,0.0,9.66,8.32,73.76
2022.11.14 - 2022.11.20,1130.0,10.0,5.0,113.12,5.27,9.91,0.0,9.91,8.41,78.93
2022.11.21 - 2022.11.27,1017.0,9.0,4.38,113.12,8.81,1.68,0.0,1.68,11.65,60.14
2022.11.28 - 2022.12.04,678.0,6.0,4.75,113.12,6.95,22.96,0.0,22.96,9.42,68.2
2022.12.05 - 2022.12.11,1243.0,11.0,4.9,113.12,4.12,10.23,0.0,10.23,6.25,82.18
2022.12.12 - 2022.12.18,678.0,6.0,4.06,113.12,5.26,0.32,0.0,0.32,8.67,64.99
2022.12.19 - 2022.12.25,452.0,4.0,5.0,113.12,4.14,16.85,0.0,16.85,8.15,78.39
2022.12.26 - 2023.01.01,791.0,7.0,4.8,113.12,-0.04,4.56,4.56,0.0,7.44,71.21
2023.01.02 - 2023.01.08,292.0,3.0,4.5,106.42,-0.06,10.22,10.22,0.0,7.22,63.03
2023.01.09 - 2023.01.15,270.0,3.0,4.67,89.67,-0.6,21.75,21.75,0.0,7.96,72.01
2023.01.16 - 2023.01.22,90.0,1.0,3.0,89.67,-0.67,0.0,0.0,0.0,8.18,64.4
2023.01.23 - 2023.01.29,270.0,3.0,5.0,89.67,2.78,0.0,0.0,0.0,9.24,60.9
2023.01.30 - 2023.02.05,628.0,7.0,5.0,89.67,0.99,7.19,4.75,2.44,9.54,67.89
2023.02.06 - 2023.02.12,180.0,2.0,5.0,89.67,-1.65,22.06,22.06,0.0,11.6,70.1
2023.02.13 - 2023.02.19,90.0,1.0,5.0,89.67,-3.95,23.54,23.54,0.0,13.14,73.25
2023.02.20 - 2023.02.26,0.0,0.0,,89.67,-2.19,30.17,19.97,10.2,13.04,69.64
2023.02.27 - 2023.03.05,180.0,2.0,5.0,89.67,2.58,9.83,9.71,0.12,13.77,62.08
2023.03.06 - 2023.03.12,90.0,1.0,4.0,89.67,3.1,32.41,7.66,24.75,10.68,82.16
2023.03.13 - 2023.03.19,628.0,7.0,4.2,89.67,5.42,9.41,9.3,0.11,12.8,64.79
2023.03.20 - 2023.03.26,359.0,4.0,4.67,89.67,2.45,23.06,16.58,6.48,8.75,89.73
2023.03.27 - 2023.04.02,179.0,2.0,5.0,89.67,1.91,21.28,13.2,8.08,8.52,87.7
2023.04.03 - 2023.04.09,0.0,0.0,,89.67,0.05,34.08,28.03,6.05,12.13,75.14
2023.04.10 - 2023.04.16,0.0,0.0,,89.67,3.31,36.29,31.32,4.97,10.6,81.75
2023.04.17 - 2023.04.23,90.0,1.0,5.0,89.67,4.82,39.58,0.0,39.58,9.0,78.24
2023.04.24 - 2023.04.30,449.0,5.0,5.0,89.67,6.03,41.59,0.0,41.59,11.03,80.41
2023.05.01 - 2023.05.07,1435.0,16.0,4.61,89.67,4.88,31.73,0.0,31.73,9.16,79.89
2023.05.08 - 2023.05.14,1615.0,18.0,4.63,89.67,6.12,12.65,0.0,12.65,9.18,78.37
2023.05.15 - 2023.05.21,1614.0,18.0,4.27,89.67,6.55,39.81,0.0,39.81,9.55,85.0
2023.05.22 - 2023.05.28,2780.0,31.0,4.84,89.67,8.97,7.13,0.0,7.13,8.63,79.65
2023.05.29 - 2023.06.04,1793.0,20.0,4.76,89.67,9.89,10.58,0.0,10.58,10.41,85.22
2023.06.05 - 2023.06.11,2690.0,30.0,4.7,89.67,11.63,13.38,0.0,13.38,9.23,83.84
2023.06.12 - 2023.06.18,4573.0,51.0,4.55,89.67,12.45,12.31,0.0,12.31,7.92,84.05
2023.06.19 - 2023.06.25,5023.0,56.0,4.82,89.67,13.0,29.59,0.0,29.59,8.96,83.93
2023.06.26 - 2023.07.02,5918.0,66.0,4.65,89.67,13.84,43.01,0.0,43.01,10.96,76.4
2023.07.03 - 2023.07.09,8338.0,93.0,4.62,89.67,15.61,13.28,0.0,13.28,9.61,72.63
2023.07.10 - 2023.07.16,10402.0,116.0,4.56,89.67,16.79,50.38,0.0,50.38,9.88,76.57
2023.07.17 - 2023.07.23,10402.0,116.0,4.52,89.67,15.04,4.78,0.0,4.78,11.06,66.56
2023.07.24 - 2023.07.30,13541.0,151.0,4.63,89.67,16.97,4.72,0.0,4.72,9.87,66.8
2023.07.31 - 2023.08.06,13182.0,147.0,4.47,89.67,16.35,4.95,0.0,4.95,10.95,70.21
2023.08.07 - 2023.08.13,14617.0,163.0,4.58,89.67,18.47,1.52,0.0,1.52,8.65,71.22
2023.08.14 - 2023.08.20,10850.0,121.0,4.46,89.67,19.9,24.08,0.0,24.08,9.37,75.44
2023.08.21 - 2023.08.27,10850.0,121.0,4.44,89.67,19.12,2.53,0.0,2.53,8.86,70.32
2023.08.28 - 2023.09.03,7980.0,89.0,4.72,89.67,18.57,4.93,0.0,4.93,11.33,67.41
2023.09.04 - 2023.09.10,6007.0,67.0,4.57,89.67,18.85,11.45,0.0,11.45,10.31,71.42
2023.09.11 - 2023.09.17,3587.0,40.0,4.52,89.67,15.8,7.99,0.0,7.99,12.57,68.27
2023.09.18 - 2023.09.24,4393.0,49.0,4.45,89.67,13.19,2.3,0.0,2.3,11.81,65.94
2023.09.25 - 2023.10.01,3767.0,42.0,4.46,89.67,14.28,1.37,0.0,1.37,8.37,70.13
2023.10.02 - 2023.10.08,3497.0,39.0,4.8,89.67,13.9,40.22,0.0,40.22,8.73,74.09
2023.10.09 - 2023.10.15,2691.0,30.0,4.78,89.67,10.97,17.77,0.0,17.77,12.35,67.41
2023.10.16 - 2023.10.22,2063.0,23.0,4.84,89.67,9.31,10.55,0.0,10.55,9.44,70.29
2023.10.23 - 2023.10.29,1524.0,17.0,4.57,89.67,8.8,35.85,0.0,35.85,9.26,70.39
2023.10.30 - 2023.11.05,1345.0,15.0,4.86,89.67,13.11,0.35,0.0,0.35,9.96,65.17
2023.11.06 - 2023.11.12,1615.0,18.0,4.57,89.67,11.7,7.04,0.0,7.04,10.39,68.48
2023.11.13 - 2023.11.19,988.0,11.0,4.89,89.67,10.0,15.86,0.0,15.86,12.36,65.1
2023.11.20 - 2023.11.26,897.0,10.0,4.7,89.67,6.46,65.85,0.0,65.85,13.7,72.65
2023.11.27 - 2023.12.03,449.0,5.0,3.75,89.67,5.84,47.35,32.76,14.59,15.52,67.17
2023.12.04 - 2023.12.10,360.0,4.0,4.25,89.67,5.94,1.58,0.3,1.28,13.24,54.63
2023.12.11 - 2023.12.17,269.0,3.0,5.0,89.67,4.36,8.64,0.0,8.64,9.07,81.39
2023.12.18 - 2023.12.24,180.0,2.0,4.5,89.67,2.09,32.94,13.85,19.09,10.74,75.36
2023.12.25 - 2023.12.31,0.0,0.0,,89.67,1.32,31.41,30.49,0.92,12.76,64.81
2024.01.01 - 2024.01.07,509.0,4.0,4.83,96.83,2.83,2.4,0.0,2.4,8.72,64.73
2024.01.08 - 2024.01.14,700.0,5.0,4.5,139.75,3.75,33.66,2.3,31.36,12.38,68.41
2024.01.15 - 2024.01.21,420.0,3.0,5.0,139.75,-1.8,41.86,25.52,16.34,11.5,78.88
2024.01.22 - 2024.01.28,140.0,1.0,5.0,139.75,2.49,24.25,22.3,1.95,16.38,69.56
2024.01.29 - 2024.02.04,280.0,2.0,5.0,139.75,-3.9,19.29,19.29,0.0,10.41,73.43
2024.02.05 - 2024.02.11,0.0,0.0,,139.75,-1.52,1.95,1.95,0.0,9.01,66.31
2024.02.12 - 2024.02.18,280.0,2.0,5.0,139.75,6.04,8.46,0.0,8.46,13.48,57.38
2024.02.19 - 2024.02.25,420.0,3.0,3.67,139.75,3.21,11.88,8.41,3.47,10.72,77.48
2024.02.26 - 2024.03.03,280.0,2.0,4.5,139.75,0.82,11.58,11.58,0.0,8.7,72.23
2024.03.04 - 2024.03.10,420.0,3.0,4.33,139.75,2.17,0.36,0.0,0.36,8.35,66.99
2024.03.11 - 2024.03.17,700.0,5.0,4.75,139.75,1.53,20.16,15.49,4.67,9.48,77.15
2024.03.18 - 2024.03.24,280.0,2.0,5.0,139.75,3.38,24.51,0.0,24.51,10.18,76.96
2024.03.25 - 2024.03.31,0.0,0.0,,139.75,0.88,26.75,26.75,0.0,10.12,78.33
2024.04.01 - 2024.04.07,280.0,2.0,5.0,139.75,4.6,14.63,12.7,1.93,11.09,67.71
2024.04.08 - 2024.04.14,839.0,6.0,4.75,139.75,5.59,10.41,0.0,10.41,9.51,72.35
2024.04.15 - 2024.04.21,140.0,1.0,5.0,139.75,5.11,6.39,0.0,6.39,8.2,84.21
2024.04.22 - 2024.04.28,979.0,7.0,4.06,139.75,10.34,1.03,0.0,1.03,11.63,62.24
2024.04.29 - 2024.05.05,700.0,5.0,4.75,139.75,11.82,6.7,0.0,6.7,9.7,70.22
2024.05.06 - 2024.05.12,3494.0,25.0,4.44,139.75,7.08,49.27,0.0,49.27,9.51,84.07
2024.05.13 - 2024.05.19,2517.0,18.0,4.83,139.75,7.65,17.87,0.0,17.87,11.05,75.26
2024.05.20 - 2024.05.26,3214.0,23.0,4.31,139.75,7.08,7.79,0.0,7.79,9.55,75.23
2024.05.27 - 2024.06.02,3355.0,24.0,4.72,139.75,10.25,16.05,0.0,16.05,8.0,78.3
2024.06.03 - 2024.06.09,4755.0,34.0,4.62,139.75,11.96,11.03,0.0,11.03,8.98,76.66
2024.06.10 - 2024.06.16,5870.0,42.0,4.52,139.75,14.69,13.85,0.0,13.85,8.06,73.28
2024.06.17 - 2024.06.23,5590.0,40.0,4.49,139.75,16.98,3.24,0.0,3.24,9.39,68.19
2024.06.24 - 2024.06.30,11460.0,82.0,4.41,139.75,16.73,7.55,0.0,7.55,9.09,72.15
2024.07.01 - 2024.07.07,10622.0,76.0,4.76,139.75,15.68,31.75,0.0,31.75,11.28,68.17
2024.07.08 - 2024.07.14,10761.0,77.0,4.68,139.75,17.56,16.97,0.0,16.97,10.62,74.41
2024.07.15 - 2024.07.21,12857.0,92.0,4.62,139.75,18.56,24.59,0.0,24.59,8.29,77.8
2024.07.22 - 2024.07.28,9362.0,67.0,4.37,139.75,18.42,32.15,0.0,32.15,9.23,76.38
2024.07.29 - 2024.08.04,11740.0,84.0,4.43,139.75,17.27,23.6,0.0,23.6,12.16,69.43
2024.08.05 - 2024.08.11,12718.0,91.0,4.6,139.75,16.5,7.2,0.0,7.2,10.28,68.49
2024.08.12 - 2024.08.18,14536.0,104.0,4.73,139.75,17.37,5.34,0.0,5.34,10.29,69.79
2024.08.19 - 2024.08.25,11181.0,80.0,4.55,139.75,18.29,0.38,0.0,0.38,9.75,63.85
2024.08.26 - 2024.09.01,8943.0,64.0,4.71,139.75,19.36,21.55,0.0,21.55,9.99,72.24
2024.09.02 - 2024.09.08,4613.0,33.0,4.52,139.75,18.61,0.21,0.0,0.21,8.52,74.45
2024.09.09 - 2024.09.15,3494.0,25.0,4.47,139.75,16.8,25.11,0.0,25.11,10.25,76.35
2024.09.16 - 2024.09.22,3496.0,25.0,4.45,139.75,16.98,13.54,0.0,13.54,9.42,72.38
2024.09.23 - 2024.09.29,2797.0,20.0,4.69,139.75,13.05,62.62,0.0,62.62,10.63,75.52
2024.09.30 - 2024.10.06,3494.0,25.0,4.6,139.75,13.34,3.23,0.0,3.23,9.21,71.41
2024.10.07 - 2024.10.13,1679.0,12.0,5.0,139.75,12.22,25.85,0.0,25.85,9.99,68.66
2024.10.14 - 2024.10.20,1678.0,12.0,4.33,139.75,13.12,24.01,0.0,24.01,9.29,75.84
2024.10.21 - 2024.10.27,2098.0,15.0,4.71,139.75,6.02,56.05,0.0,56.05,15.82,74.12
2024.10.28 - 2024.11.03,979.0,7.0,4.92,139.75,5.72,16.93,0.0,16.93,11.52,72.97
2024.11.04 - 2024.11.10,1260.0,9.0,5.0,139.75,5.7,7.13,0.0,7.13,9.75,67.93
2024.11.11 - 2024.11.17,420.0,3.0,5.0,139.75,3.12,23.16,23.16,0.0,10.93,66.52
2024.11.18 - 2024.11.24,839.0,6.0,4.56,139.75,4.41,18.38,0.0,18.38,9.33,73.77
2024.11.25 - 2024.12.01,980.0,7.0,5.0,139.75,4.9,73.15,54.97,18.18,15.51,73.45
2024.12.02 - 2024.12.08,420.0,3.0,5.0,139.75,-1.25,4.54,4.54,0.0,9.82,66.89
2024.12.09 - 2024.12.15,700.0,5.0,5.0,139.75,1.39,0.51,0.38,0.13,7.83,67.12
2024.12.16 - 2024.12.22,420.0,3.0,5.0,139.75,-1.31,11.09,11.09,0.0,12.24,69.64
2024.12.23 - 2024.12.29,280.0,2.0,5.0,139.75,1.22,6.36,3.24,3.12,7.31,69.49
2024.12.30 - 2025.01.05,140.0,1.0,5.0,139.75,2.5,16.91,14.78,2.13,10.21,72.48
2025.01.06 - 2025.01.12,272.0,2.0,5.0,136.5,-0.94,18.64,18.64,0.0,8.4,70.94
2025.01.13 - 2025.01.19,816.0,6.0,4.42,135.96,1.5,0.39,0.0,0.39,5.72,64.07
2025.01.20 - 2025.01.26,136.0,1.0,5.0,135.96,-0.63,38.32,38.32,0.0,9.7,83.91
2025.01.27 - 2025.02.02,136.0,1.0,5.0,135.96,0.18,5.67,5.67,0.0,6.2,69.21
2025.02.03 - 2025.02.09,136.0,1.0,3.0,135.96,0.06,0.06,0.06,0.0,4.77,59.92
2025.02.10 - 2025.02.16,272.0,2.0,5.0,135.96,-3.23,39.49,39.49,0.0,10.29,77.55
2025.02.17 - 2025.02.23,272.0,2.0,3.0,135.96,-1.28,9.43,9.43,0.0,8.54,71.56
2025.02.24 - 2025.03.02,272.0,2.0,5.0,135.96,-7.0,43.22,43.22,0.0,15.49,74.37
2025.03.03 - 2025.03.09,272.0,2.0,4.5,135.96,-3.83,11.71,11.71,0.0,8.13,72.0
2025.03.10 - 2025.03.16,0.0,0.0,,135.96,0.08,0.86,0.86,0.0,4.87,74.31
2025.03.17 - 2025.03.23,136.0,1.0,5.0,135.96,10.05,0.0,0.0,0.0,12.25,50.38
2025.03.24 - 2025.03.30,0.0,0.0,,135.96,-1.28,18.66,17.5,1.16,9.8,75.35
2025.03.31 - 2025.04.06,272.0,2.0,5.0,135.96,7.34,15.33,0.0,15.33,9.14,70.09
2025.04.07 - 2025.04.13,1088.0,8.0,4.62,135.96,5.69,31.91,0.0,31.91,10.53,77.7
2025.04.14 - 2025.04.20,544.0,4.0,4.67,135.96,-0.69,71.17,66.36,4.81,12.76,78.4
2025.04.21 - 2025.04.27,1632.0,12.0,5.0,135.96,2.68,13.58,8.95,4.63,9.28,84.93
2025.04.28 - 2025.05.04,1904.0,14.0,4.67,135.96,4.72,23.12,0.0,23.12,9.23,85.18
2025.05.05 - 2025.05.11,1768.0,13.0,4.78,135.96,5.14,15.7,0.0,15.7,8.68,79.09
2025.05.12 - 2025.05.18,4760.0,35.0,4.58,135.96,9.17,29.25,0.0,29.25,9.93,75.9
2025.05.19 - 2025.05.25,3672.0,27.0,4.62,135.96,7.29,33.29,0.0,33.29,10.51,76.07
2025.05.26 - 2025.06.01,4760.0,35.0,4.67,135.96,10.52,0.41,0.0,0.41,8.62,67.97
2025.06.02 - 2025.06.08,4488.0,33.0,4.66,135.96,10.26,19.95,0.0,19.95,9.51,79.75
2025.06.09 - 2025.06.15,5304.0,39.0,4.55,135.96,11.87,20.25,0.0,20.25,8.13,75.22
2025.06.16 - 2025.06.22,7208.0,53.0,4.55,135.96,13.49,5.15,0.0,5.15,10.78,72.47
2025.06.23 - 2025.06.29,5848.0,43.0,4.51,135.96,12.82,5.42,0.0,5.42,10.58,67.52
2025.06.30 - 2025.07.06,8295.0,61.0,4.57,135.96,13.95,15.91,0.0,15.91,10.76,63.45
2025.07.07 - 2025.07.13,8568.0,63.0,4.73,135.96,13.18,17.42,0.0,17.42,11.26,70.29
2025.07.14 - 2025.07.20,13461.0,99.0,4.53,135.96,17.78,9.62,0.0,9.62,8.03,72.2
2025.07.21 - 2025.07.27,14411.0,106.0,4.55,135.96,17.95,13.98,0.0,13.98,9.42,72.4
2025.07.28 - 2025.08.03,18354.0,135.0,4.49,135.96,18.82,1.7,0.0,1.7,9.12,71.33
2025.08.04 - 2025.08.10,16449.0,121.0,4.21,135.96,19.71,23.56,0.0,23.56,10.43,74.33
2025.08.11 - 2025.08.17,13867.0,102.0,4.49,135.96,18.58,11.92,0.0,11.92,11.13,73.01
2025.08.18 - 2025.08.24,12508.0,92.0,4.5,135.96,17.09,0.53,0.0,0.53,9.73,62.04
2025.08.25 - 2025.08.31,11693.0,86.0,4.45,135.96,17.31,22.01,0.0,22.01,11.42,68.7
2025.09.01 - 2025.09.07,6664.0,49.0,4.53,135.96,16.39,1.33,0.0,1.33,8.7,69.79
2025.09.08 - 2025.09.14,7208.0,53.0,4.51,135.96,15.79,45.87,0.0,45.87,9.58,78.68
2025.09.15 - 2025.09.21,4896.0,36.0,4.44,135.96,13.87,6.46,0.0,6.46,10.61,67.93
2025.09.22 - 2025.09.28,4216.0,31.0,4.88,135.96,11.35,37.21,0.0,37.21,15.54,69.68
2025.09.29 - 2025.10.05,2312.0,17.0,4.67,135.96,11.03,3.79,0.0,3.79,10.69,70.94
2025.10.06 - 2025.10.12,3264.0,24.0,4.81,135.96,10.76,33.31,0.0,33.31,8.51,75.8
2025.10.13 - 2025.10.19,1496.0,11.0,4.57,135.96,9.38,32.87,0.0,32.87,11.46,70.68
2025.10.20 - 2025.10.26,2040.0,15.0,4.92,135.96,7.6,22.11,0.0,22.11,9.26,74.84
2025.10.27 - 2025.11.02,1088.0,8.0,5.0,135.96,9.26,9.86,0.0,9.86,10.28,70.95
2025.11.03 - 2025.11.09,1088.0,8.0,4.53,135.96,7.26,23.01,0.0,23.01,10.57,65.42
2025.11.10 - 2025.11.16,680.0,5.0,4.5,135.96,7.68,0.25,0.0,0.25,7.64,72.59
2025.11.17 - 2025.11.23,272.0,2.0,5.0,135.96,6.28,42.46,0.0,42.46,9.57,76.41
2025.11.24 - 2025.11.30,408.0,3.0,5.0,135.96,7.6,0.0,0.0,0.0,8.13,46.09
2025.12.01 - 2025.12.07,136.0,1.0,5.0,135.96,5.81,4.33,0.0,4.33,7.39,63.56
2025.12.08 - 2025.12.14,272.0,2.0,5.0,135.96,4.08,3.54,0.0,3.54,8.28,69.35
2025.12.15 - 2025.12.21,408.0,3.0,5.0,135.96,1.76,51.42,31.23,20.19,9.59,81.86
2025.12.22 - 2025.12.28,0.0,0.0,,135.96,0.29,9.94,9.94,0.0,8.23,68.06
2025.12.29 - 2026.01.04,0.0,0.0,,135.96,-0.73,35.31,32.81,2.5,11.24,74.59
2026.01.05 - 2026.01.11,0.0,0.0,,135.96,-1.69,4.5,4.5,0.0,19.66,54.4
