,Erfelek Tatlıca Şelaleleri - Sinop_temp,Erfelek Tatlıca Şelaleleri - Sinop_prcp,Erfelek Tatlıca Şelaleleri - Sinop_snow,Erfelek Tatlıca Şelaleleri - Sinop_rain,Erfelek Tatlıca Şelaleleri - Sinop_tmin,Erfelek Tatlıca Şelaleleri - Sinop_tmax,Erfelek Tatlıca Şelaleleri - Sinop_wspd,Erfelek Tatlıca Şelaleleri - Sinop_rhum
2022-10-14,13.49,0.0,0.0,0.0,8.68,16.49,7.53,72.46
2022-10-15,14.3,0.0,0.0,0.0,11.62,17.29,7.09,75.03
2022-10-16,13.97,2.13,0.0,2.13,12.43,15.83,6.01,86.04
2022-10-17,13.91,8.15,0.0,8.15,12.26,15.4,8.42,87.75
2022-10-18,14.1,0.51,0.0,0.51,12.29,16.08,7.43,84.51
2022-10-19,13.68,0.52,0.0,0.52,12.15,15.75,9.75,86.81
2022-10-20,12.03,5.02,0.0,5.02,9.58,14.33,19.89,83.32
2022-10-21,9.25,2.93,0.0,2.93,7.04,11.99,12.55,74.83
2022-10-22,10.34,0.11,0.0,0.11,4.18,14.06,12.63,73.6
2022-10-23,12.72,0.0,0.0,0.0,6.07,17.71,9.78,61.02
2022-10-24,13.04,0.92,0.0,0.92,9.61,16.0,14.47,84.32
2022-10-25,12.71,0.0,0.0,0.0,9.39,15.78,11.59,82.03
2022-10-26,13.68,0.03,0.0,0.03,7.36,19.18,13.37,79.05
2022-10-27,13.1,1.29,0.0,1.29,11.15,15.9,15.86,84.37
2022-10-28,11.58,0.86,0.0,0.86,8.0,15.0,10.23,81.83
2022-10-29,10.66,0.0,0.0,0.0,5.79,14.31,9.67,77.83
2022-10-30,10.84,0.0,0.0,0.0,6.87,14.66,9.33,77.77
2022-10-31,12.04,1.79,0.0,1.79,7.77,14.94,16.89,83.39
2022-11-01,10.7,1.6,0.0,1.6,7.03,13.21,11.76,74.37
2022-11-02,9.41,0.0,0.0,0.0,4.05,13.74,7.25,76.72
2022-11-03,12.31,1.52,0.0,1.52,8.15,14.37,17.62,77.71
2022-11-04,11.6,1.28,0.0,1.28,8.57,15.06,10.62,77.66
2022-11-05,12.12,0.0,0.0,0.0,7.31,15.22,11.8,80.79
2022-11-06,12.22,0.0,0.0,0.0,10.36,13.77,15.31,79.05
2022-11-07,12.39,0.41,0.0,0.41,10.6,14.75,11.81,80.43
2022-11-08,10.56,1.21,0.0,1.21,8.91,12.09,8.63,80.66
2022-11-09,9.71,0.13,0.0,0.13,7.84,12.13,7.38,75.65
2022-11-10,9.41,0.0,0.0,0.0,6.73,12.1,6.36,75.77
2022-11-11,10.45,0.0,0.0,0.0,6.27,13.96,7.57,76.57
2022-11-12,11.01,0.0,0.0,0.0,7.19,14.63,10.28,81.53
2022-11-13,10.29,0.4,0.0,0.4,7.46,13.97,6.22,84.4
2022-11-14,10.48,0.32,0.0,0.32,7.81,13.21,8.64,79.2
2022-11-15,10.76,0.0,0.0,0.0,7.71,13.98,11.28,78.06
2022-11-16,9.67,0.0,0.0,0.0,5.18,13.09,10.16,79.23
2022-11-17,12.23,0.12,0.0,0.12,5.5,16.08,9.83,61.69
2022-11-18,12.96,0.96,0.0,0.96,11.19,14.98,8.05,76.12
2022-11-19,16.73,0.0,0.0,0.0,11.42,21.63,12.54,58.57
2022-11-20,17.13,0.0,0.0,0.0,13.2,22.75,9.92,57.9
2022-11-21,18.3,0.08,0.0,0.08,13.18,21.98,10.23,47.41
2022-11-22,12.18,2.35,0.0,2.35,9.32,16.03,12.62,73.14
2022-11-23,12.76,0.0,0.0,0.0,8.98,16.29,13.6,67.97
2022-11-24,12.58,0.0,0.0,0.0,9.24,14.78,9.64,73.12
2022-11-25,10.91,1.81,0.0,1.81,9.09,12.7,17.64,86.29
2022-11-26,8.78,5.26,0.0,5.26,7.73,9.81,28.44,83.61
2022-11-27,8.24,0.74,0.0,0.74,6.51,10.0,15.1,72.43
2022-11-28,9.2,0.0,0.0,0.0,6.15,11.73,15.04,76.37
2022-11-29,10.01,0.0,0.0,0.0,8.27,12.0,13.85,79.71
2022-11-30,9.99,0.0,0.0,0.0,7.2,11.79,6.48,83.82
2022-12-01,9.85,0.0,0.0,0.0,6.9,12.21,7.61,86.92
2022-12-02,10.94,0.1,0.0,0.1,8.22,13.39,9.67,86.88
2022-12-03,9.5,4.29,0.0,4.29,8.42,10.55,15.46,86.29
2022-12-04,8.61,1.22,0.0,1.22,7.36,9.49,9.36,86.48
2022-12-05,8.13,4.18,0.0,4.18,6.61,9.78,6.8,88.34
2022-12-06,8.55,11.69,0.0,11.69,5.53,10.7,8.47,84.89
2022-12-07,7.69,0.0,0.0,0.0,4.4,11.39,6.63,79.24
2022-12-08,7.54,0.0,0.0,0.0,3.62,11.84,6.78,80.55
2022-12-09,9.55,0.39,0.0,0.39,5.73,13.78,8.04,74.96
2022-12-10,13.25,0.38,0.0,0.38,7.84,16.38,11.14,57.63
2022-12-11,15.8,0.28,0.0,0.28,12.92,18.22,15.01,49.34
2022-12-12,13.35,10.52,0.0,10.52,9.66,16.89,12.84,69.91
2022-12-13,10.23,7.22,0.0,7.22,6.24,17.52,17.74,81.59
2022-12-14,6.22,12.53,0.0,12.53,4.53,7.47,11.21,82.97
2022-12-15,10.75,2.26,0.0,2.26,6.6,15.84,13.43,75.66
2022-12-16,10.64,1.7,0.0,1.7,9.49,12.27,11.69,89.46
2022-12-17,12.66,0.0,0.0,0.0,8.22,17.62,8.8,74.64
2022-12-18,11.51,2.71,0.0,2.71,8.49,15.06,12.34,76.34
2022-12-19,5.07,22.68,0.0,22.68,2.36,8.14,16.57,88.83
2022-12-20,3.9,5.01,0.0,5.01,2.55,5.41,13.12,75.69
2022-12-21,5.37,0.71,0.0,0.71,3.07,7.23,8.17,79.63
2022-12-22,6.69,0.11,0.0,0.11,3.96,9.38,14.15,75.2
2022-12-23,5.17,0.0,0.0,0.0,1.64,9.66,6.55,78.8
2022-12-24,5.74,0.0,0.0,0.0,1.14,10.32,7.17,74.77
2022-12-25,7.52,3.56,0.0,3.56,4.33,10.16,9.36,73.51
2022-12-26,6.13,13.45,0.0,13.45,5.21,7.16,20.88,87.6
2022-12-27,6.8,4.84,0.0,4.84,2.39,10.32,8.14,73.22
2022-12-28,6.86,6.64,0.0,6.64,4.36,9.22,19.54,74.63
2022-12-29,5.24,0.0,0.0,0.0,-0.05,8.57,10.09,76.11
2022-12-30,7.05,0.0,0.0,0.0,1.27,13.64,6.69,74.06
2022-12-31,7.38,0.0,0.0,0.0,3.63,11.84,7.49,72.28
2023-01-01,6.8,0.0,0.0,0.0,3.05,11.67,6.39,75.97
2023-01-02,6.8,0.0,0.0,0.0,1.77,11.62,7.83,71.7
2023-01-03,5.6,0.0,0.0,0.0,1.01,10.01,8.68,77.1
2023-01-04,6.24,0.68,0.0,0.68,1.35,9.11,16.49,76.16
2023-01-05,7.06,0.21,0.0,0.21,4.7,9.48,9.39,80.74
2023-01-06,6.77,3.97,0.0,3.97,4.62,8.8,13.92,82.25
2023-01-07,4.91,10.37,0.0,10.37,3.51,6.21,15.96,81.38
2023-01-08,3.17,4.89,0.0,4.89,1.78,4.18,9.74,84.23
2023-01-09,3.67,2.14,0.0,2.14,-1.0,6.57,13.02,75.53
2023-01-10,5.89,0.0,0.0,0.0,1.15,9.83,14.16,66.47
2023-01-11,8.94,0.0,0.0,0.0,2.96,13.6,13.25,63.34
2023-01-12,8.68,0.0,0.0,0.0,5.5,11.66,9.51,71.9
2023-01-13,7.2,0.0,0.0,0.0,4.75,9.74,8.98,82.15
2023-01-14,6.3,0.08,0.0,0.08,2.61,9.13,6.5,84.56
2023-01-15,5.46,0.35,0.0,0.35,2.88,7.91,5.83,81.01
2023-01-16,5.17,0.0,0.0,0.0,0.11,8.41,11.68,83.42
2023-01-17,9.35,0.0,0.0,0.0,2.64,15.53,12.86,56.5
2023-01-18,12.3,0.0,0.0,0.0,5.31,16.61,14.34,48.44
2023-01-19,11.95,0.0,0.0,0.0,6.35,17.49,12.48,52.41
2023-01-20,11.25,0.0,0.0,0.0,6.46,16.95,13.3,52.18
2023-01-21,9.45,0.0,0.0,0.0,4.82,13.06,14.72,66.4
2023-01-22,7.09,0.0,0.0,0.0,4.68,9.42,12.15,80.37
2023-01-23,6.1,0.0,0.0,0.0,4.5,7.81,7.44,82.85
2023-01-24,5.96,0.03,0.0,0.03,4.48,7.34,6.76,78.89
2023-01-25,5.22,2.96,0.0,2.96,2.72,8.03,6.13,80.11
2023-01-26,5.04,0.0,0.0,0.0,1.94,7.21,14.91,82.51
2023-01-27,9.9,0.49,0.0,0.49,5.1,14.35,16.04,61.42
2023-01-28,8.89,0.39,0.0,0.39,5.22,12.15,10.51,70.19
2023-01-29,4.62,3.54,0.0,3.54,3.09,5.67,28.26,80.12
2023-01-30,3.4,0.99,0.0,0.99,2.0,4.96,16.43,78.55
2023-01-31,2.22,9.3,0.0,9.3,1.38,3.32,8.59,86.92
2023-02-01,2.12,10.18,0.0,10.18,0.83,4.29,16.1,85.39
2023-02-02,2.27,4.48,0.0,4.48,-0.49,5.17,15.11,77.39
2023-02-03,3.85,0.33,0.0,0.33,1.72,6.1,18.94,66.69
2023-02-04,2.68,0.37,0.0,0.37,-0.8,5.98,10.66,73.23
2023-02-05,2.98,0.08,0.0,0.08,0.25,5.27,9.88,72.46
2023-02-06,2.55,5.72,0.0,5.72,0.6,4.86,24.92,82.61
2023-02-07,0.03,5.28,5.28,0.0,-1.41,1.09,31.27,79.21
2023-02-08,-0.55,9.03,9.03,0.0,-1.67,1.15,25.78,85.04
2023-02-09,0.14,5.62,5.62,0.0,-1.63,1.49,12.5,85.98
2023-02-10,0.27,0.87,0.87,0.0,-1.0,1.34,11.62,78.92
2023-02-11,0.27,0.82,0.82,0.0,-1.48,1.99,8.74,77.79
2023-02-12,1.56,0.0,0.0,0.0,-1.9,4.21,13.75,66.07
2023-02-13,1.89,2.09,2.09,0.0,0.32,3.41,26.58,60.97
2023-02-14,2.48,1.72,0.0,1.72,-0.75,4.43,20.49,58.8
2023-02-15,2.0,16.77,0.0,16.77,0.05,3.23,30.24,73.92
2023-02-16,1.92,10.47,10.47,0.0,-0.28,3.41,29.33,70.59
2023-02-17,4.37,0.23,0.0,0.23,0.77,9.05,11.31,56.24
2023-02-18,6.83,0.41,0.0,0.41,2.48,10.51,13.12,62.16
2023-02-19,9.02,1.6,0.0,1.6,5.38,11.8,20.13,63.54
2023-02-20,5.91,5.36,0.0,5.36,2.11,9.43,21.79,78.8
2023-02-21,7.02,1.88,0.0,1.88,0.53,12.35,17.08,55.17
2023-02-22,7.43,0.0,0.0,0.0,4.89,9.95,15.74,73.08
2023-02-23,4.36,0.18,0.0,0.18,1.91,7.65,11.68,76.98
2023-02-24,4.33,0.0,0.0,0.0,1.41,6.6,21.32,77.74
2023-02-25,8.41,0.0,0.0,0.0,3.48,12.59,12.23,64.5
2023-02-26,13.3,0.0,0.0,0.0,7.3,18.68,14.96,45.22
2023-02-27,12.09,0.0,0.0,0.0,8.47,17.49,12.71,51.17
2023-02-28,8.21,0.0,0.0,0.0,5.51,11.12,9.44,73.79
2023-03-01,6.08,1.35,0.0,1.35,5.04,7.44,8.01,94.11
2023-03-02,5.25,3.79,0.0,3.79,4.66,5.86,10.79,92.98
2023-03-03,5.14,0.9,0.0,0.9,4.31,6.21,13.95,89.65
2023-03-04,6.07,0.54,0.0,0.54,4.35,7.18,8.87,90.21
2023-03-05,7.14,4.54,0.0,4.54,4.74,10.62,9.53,84.28
2023-03-06,5.15,23.25,0.0,23.25,2.65,7.12,16.77,89.49
2023-03-07,8.07,0.48,0.0,0.48,3.02,13.13,11.49,64.72
2023-03-08,9.07,0.22,0.0,0.22,4.71,13.36,10.37,61.87
2023-03-09,10.39,0.37,0.0,0.37,6.46,14.93,9.27,66.05
2023-03-10,10.66,1.2,0.0,1.2,7.35,15.19,12.38,68.39
2023-03-11,13.48,1.72,0.0,1.72,7.67,19.61,15.66,62.64
2023-03-12,7.72,11.34,0.0,11.34,3.83,12.03,15.92,83.16
2023-03-13,3.97,7.08,0.0,7.08,2.9,4.98,15.71,75.15
2023-03-14,4.18,1.25,0.0,1.25,1.98,6.04,8.24,75.5
2023-03-15,5.28,0.46,0.0,0.46,3.42,8.11,11.98,86.56
2023-03-16,6.29,0.74,0.0,0.74,4.81,8.8,9.2,91.56
2023-03-17,6.43,2.07,0.0,2.07,5.14,8.31,10.18,88.68
2023-03-18,6.27,2.65,0.0,2.65,4.43,7.52,5.07,91.88
2023-03-19,5.53,4.01,0.0,4.01,4.66,6.52,15.21,94.32
2023-03-20,5.13,1.08,0.0,1.08,4.41,5.77,23.09,88.03
2023-03-21,5.69,0.02,0.0,0.02,3.63,7.7,8.83,79.91
2023-03-22,6.17,0.25,0.0,0.25,4.33,7.83,15.75,87.42
2023-03-23,6.61,1.42,0.0,1.42,5.56,8.45,11.76,88.09
2023-03-24,7.04,0.0,0.0,0.0,4.72,9.65,11.21,85.11
2023-03-25,6.6,0.0,0.0,0.0,4.7,9.11,15.71,87.94
2023-03-26,7.1,5.82,0.0,5.82,4.7,10.5,15.15,89.37
2023-03-27,9.41,1.93,0.0,1.93,5.98,12.8,20.0,74.02
2023-03-28,8.53,7.25,0.0,7.25,5.65,12.93,21.34,78.47
2023-03-29,3.52,12.72,0.0,12.72,1.97,4.88,29.47,73.54
2023-03-30,1.26,2.48,2.48,0.0,-1.02,3.24,20.03,74.65
2023-03-31,3.58,1.2,0.0,1.2,-0.24,7.51,15.16,62.13
2023-04-01,9.55,0.27,0.0,0.27,2.83,14.78,16.05,61.5
2023-04-02,10.33,2.23,0.0,2.23,7.93,12.5,12.3,78.65
2023-04-03,10.51,1.49,0.0,1.49,8.12,13.19,13.22,80.9
2023-04-04,11.11,0.99,0.0,0.99,7.48,17.51,20.89,76.1
2023-04-05,8.73,8.22,0.0,8.22,5.87,13.16,19.17,82.85
2023-04-06,6.53,1.19,0.0,1.19,5.12,7.84,14.66,80.52
2023-04-07,6.25,6.08,0.0,6.08,5.1,7.36,14.31,89.63
2023-04-08,7.11,1.76,0.0,1.76,5.08,9.19,12.89,85.94
2023-04-09,7.48,0.0,0.0,0.0,5.65,9.73,20.04,85.49
2023-04-10,8.02,0.35,0.0,0.35,6.13,10.83,13.58,84.37
2023-04-11,7.47,1.24,0.0,1.24,5.31,9.59,9.66,84.63
2023-04-12,7.62,3.85,0.0,3.85,6.12,9.82,7.35,84.8
2023-04-13,7.52,1.3,0.0,1.3,4.65,9.95,13.15,85.96
2023-04-14,12.24,0.18,0.0,0.18,4.53,16.94,11.85,56.99
2023-04-15,13.55,0.0,0.0,0.0,8.44,19.01,12.05,59.25
2023-04-16,10.94,1.88,0.0,1.88,8.18,14.07,13.74,76.74
2023-04-17,12.0,0.27,0.0,0.27,7.98,15.15,10.52,79.9
2023-04-18,12.0,0.15,0.0,0.15,9.01,16.7,11.19,78.0
2023-04-19,9.96,1.74,0.0,1.74,7.51,13.91,10.41,88.34
2023-04-20,8.54,4.77,0.0,4.77,7.16,10.03,15.59,89.59
2023-04-21,8.67,4.45,0.0,4.45,6.59,10.43,15.75,83.71
2023-04-22,9.09,0.71,0.0,0.71,6.62,12.31,16.68,76.14
2023-04-23,8.5,0.23,0.0,0.23,4.56,11.39,9.11,81.51
2023-04-24,8.34,5.59,0.0,5.59,5.84,10.53,8.04,85.92
2023-04-25,9.92,0.11,0.0,0.11,6.01,14.01,13.2,80.59
2023-04-26,12.28,0.99,0.0,0.99,8.71,15.84,11.79,73.27
2023-04-27,10.18,4.79,0.0,4.79,8.6,12.8,16.52,88.14
2023-04-28,8.57,5.1,0.0,5.1,7.07,9.8,28.26,84.35
2023-04-29,8.4,0.14,0.0,0.14,7.15,9.91,24.42,73.42
2023-04-30,8.41,0.6,0.0,0.6,5.72,10.89,13.63,74.62
2023-05-01,9.57,0.83,0.0,0.83,6.72,12.94,18.27,66.77
2023-05-02,9.63,0.09,0.0,0.09,6.78,12.84,12.87,65.14
2023-05-03,9.77,0.0,0.0,0.0,4.95,13.16,14.08,72.13
2023-05-04,10.65,0.0,0.0,0.0,7.82,15.55,17.84,80.9
2023-05-05,10.19,0.0,0.0,0.0,8.02,13.15,10.83,85.6
2023-05-06,9.45,4.9,0.0,4.9,7.67,11.37,8.12,88.08
2023-05-07,9.27,7.28,0.0,7.28,8.09,10.65,20.11,93.41
2023-05-08,9.47,8.39,0.0,8.39,8.64,10.89,16.18,94.24
2023-05-09,9.89,0.52,0.0,0.52,7.69,12.46,10.42,89.41
2023-05-10,8.98,7.42,0.0,7.42,7.87,10.04,8.71,88.09
2023-05-11,8.52,2.28,0.0,2.28,7.03,10.43,10.94,82.57
2023-05-12,9.88,1.06,0.0,1.06,8.37,12.31,10.67,78.66
2023-05-13,10.48,0.0,0.0,0.0,8.43,12.6,18.65,80.43
2023-05-14,11.1,0.0,0.0,0.0,7.51,14.92,14.56,69.46
2023-05-15,12.54,0.0,0.0,0.0,7.13,16.58,13.4,63.17
2023-05-16,13.31,0.0,0.0,0.0,10.39,15.7,20.68,64.46
2023-05-17,12.95,0.0,0.0,0.0,9.75,16.65,14.21,73.16
2023-05-18,11.3,3.24,0.0,3.24,8.79,13.95,8.2,88.49
2023-05-19,11.54,0.1,0.0,0.1,9.17,14.2,16.18,90.58
2023-05-20,12.01,0.0,0.0,0.0,10.03,14.36,15.3,89.24
2023-05-21,11.47,1.6,0.0,1.6,9.49,13.16,7.44,93.66
2023-05-22,12.32,1.56,0.0,1.56,9.74,14.35,6.99,90.96
2023-05-23,12.43,3.05,0.0,3.05,10.96,14.6,6.4,93.31
2023-05-24,13.01,1.83,0.0,1.83,10.84,14.63,4.95,92.97
2023-05-25,13.73,0.0,0.0,0.0,10.74,16.97,7.82,89.56
2023-05-26,14.12,0.05,0.0,0.05,11.56,16.16,7.65,89.36
2023-05-27,14.68,0.0,0.0,0.0,12.3,17.09,10.27,88.23
2023-05-28,15.09,0.19,0.0,0.19,12.82,17.29,14.71,89.15
2023-05-29,14.99,0.29,0.0,0.29,12.97,17.44,7.03,92.34
2023-05-30,14.94,5.2,0.0,5.2,12.75,17.33,7.8,92.63
2023-05-31,15.69,4.04,0.0,4.04,12.89,18.43,17.0,85.83
2023-06-01,15.89,0.0,0.0,0.0,12.89,18.69,16.78,76.07
2023-06-02,16.14,0.0,0.0,0.0,11.43,19.76,10.86,78.2
2023-06-03,15.89,1.46,0.0,1.46,13.71,18.2,12.9,91.8
2023-06-04,14.59,21.98,0.0,21.98,13.58,15.78,13.38,95.58
2023-06-05,14.49,50.55,0.0,50.55,13.55,15.62,14.73,93.81
2023-06-06,15.74,1.03,0.0,1.03,13.11,18.37,11.0,84.31
2023-06-07,15.92,0.0,0.0,0.0,11.51,19.69,8.31,83.31
2023-06-08,16.47,0.0,0.0,0.0,13.35,19.88,13.76,84.74
2023-06-09,16.05,0.05,0.0,0.05,14.39,18.38,8.68,90.71
2023-06-10,16.6,0.0,0.0,0.0,13.49,19.38,9.86,84.99
2023-06-11,17.18,0.0,0.0,0.0,12.96,20.33,7.0,79.25
2023-06-12,17.97,2.92,0.0,2.92,14.91,20.82,8.31,79.92
2023-06-13,16.8,2.08,0.0,2.08,14.77,18.78,8.91,86.42
2023-06-14,17.23,0.45,0.0,0.45,14.22,19.54,14.48,83.94
2023-06-15,17.3,1.34,0.0,1.34,14.89,19.97,15.56,83.16
2023-06-16,18.37,0.37,0.0,0.37,13.7,21.82,9.55,76.71
2023-06-17,18.66,0.0,0.0,0.0,15.98,20.89,15.53,85.56
2023-06-18,18.38,4.16,0.0,4.16,16.12,21.17,8.57,84.46
2023-06-19,18.67,1.64,0.0,1.64,15.05,21.21,13.41,83.43
2023-06-20,18.12,5.18,0.0,5.18,16.36,20.13,20.16,86.49
2023-06-21,19.26,0.53,0.0,0.53,16.69,21.62,16.35,82.09
2023-06-22,19.1,0.55,0.0,0.55,15.32,21.89,13.83,80.74
2023-06-23,19.38,0.28,0.0,0.28,15.26,22.94,10.75,74.38
2023-06-24,19.35,0.0,0.0,0.0,13.36,23.08,11.01,69.11
2023-06-25,20.33,0.0,0.0,0.0,17.25,22.72,18.19,79.47
2023-06-26,19.77,0.0,0.0,0.0,16.2,22.54,15.58,81.79
2023-06-27,20.0,0.71,0.0,0.71,17.18,22.87,16.43,78.86
2023-06-28,20.11,0.0,0.0,0.0,14.55,23.66,9.42,74.71
2023-06-29,19.12,1.61,0.0,1.61,16.15,22.89,14.65,79.74
2023-06-30,19.16,1.54,0.0,1.54,15.7,21.66,19.23,72.0
2023-07-01,20.3,0.0,0.0,0.0,15.55,23.74,11.48,64.55
2023-07-02,21.23,0.0,0.0,0.0,17.62,24.39,16.46,69.42
2023-07-03,21.63,0.0,0.0,0.0,17.24,24.65,9.91,79.59
2023-07-04,22.15,0.0,0.0,0.0,19.12,25.17,10.52,78.85
2023-07-05,22.55,0.0,0.0,0.0,18.09,26.72,10.61,71.45
2023-07-06,22.6,0.0,0.0,0.0,18.21,26.07,9.0,73.71
2023-07-07,22.82,0.0,0.0,0.0,19.27,25.45,16.96,78.01
2023-07-08,21.94,0.05,0.0,0.05,19.5,24.94,25.75,78.35
2023-07-09,19.7,10.5,0.0,10.5,17.44,21.76,26.33,80.41
2023-07-10,19.99,32.22,0.0,32.22,16.63,22.11,25.64,75.67
2023-07-11,20.42,4.16,0.0,4.16,16.09,23.97,18.41,71.2
2023-07-12,21.69,0.0,0.0,0.0,16.54,26.16,10.66,65.84
2023-07-13,21.11,0.0,0.0,0.0,17.37,23.72,9.56,75.2
2023-07-14,22.39,0.0,0.0,0.0,17.29,26.94,11.16,70.56
2023-07-15,22.09,0.0,0.0,0.0,18.97,24.33,15.08,73.57
2023-07-16,21.44,0.37,0.0,0.37,18.01,23.98,9.83,73.66
2023-07-17,21.49,0.0,0.0,0.0,16.62,25.63,7.85,64.34
2023-07-18,21.33,0.0,0.0,0.0,16.16,24.85,9.87,60.05
2023-07-19,21.79,0.0,0.0,0.0,16.43,26.05,8.09,58.59
2023-07-20,21.99,0.0,0.0,0.0,17.73,25.19,15.03,65.8
2023-07-21,22.61,0.0,0.0,0.0,18.51,25.52,10.46,70.91
2023-07-22,22.76,0.0,0.0,0.0,17.58,26.43,10.75,70.08
2023-07-23,24.13,0.0,0.0,0.0,18.09,28.62,8.57,59.42
2023-07-24,20.95,6.43,0.0,6.43,18.39,24.29,10.4,76.28
2023-07-25,21.14,10.21,0.0,10.21,16.18,24.64,9.73,70.48
2023-07-26,22.5,0.0,0.0,0.0,18.99,25.64,18.9,70.77
2023-07-27,23.34,0.56,0.0,0.56,20.14,28.15,18.96,73.11
2023-07-28,19.36,0.53,0.0,0.53,17.45,21.47,30.47,68.15
2023-07-29,19.28,0.0,0.0,0.0,14.67,22.68,10.67,65.4
2023-07-30,19.79,0.0,0.0,0.0,14.32,22.71,11.2,68.57
2023-07-31,20.14,0.0,0.0,0.0,14.6,23.86,8.36,73.19
2023-08-01,20.81,0.0,0.0,0.0,16.9,24.16,8.64,78.9
2023-08-02,21.67,0.11,0.0,0.11,18.22,24.5,7.36,80.11
2023-08-03,21.91,0.0,0.0,0.0,17.93,24.4,8.31,78.71
2023-08-04,22.73,0.0,0.0,0.0,17.53,26.0,13.48,74.77
