tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Perşembe Yaylası - Ordu_temp,Perşembe Yaylası - Ordu_prcp,Perşembe Yaylası - Ordu_snow,Perşembe Yaylası - Ordu_rain,Perşembe Yaylası - Ordu_wspd,Perşembe Yaylası - Ordu_rhum
2022.01.03 - 2022.01.09,0.0,0.0,,1173.71,-0.68,12.0,12.0,0.0,10.38,77.04
2022.01.10 - 2022.01.16,1174.0,1.0,5.0,1173.71,1.94,3.94,2.31,1.63,9.12,63.47
2022.01.17 - 2022.01.23,0.0,0.0,,1173.71,-3.54,26.01,25.37,0.64,10.79,72.74
2022.01.24 - 2022.01.30,0.0,0.0,,1173.71,-5.09,20.1,20.1,0.0,12.15,68.32
2022.01.31 - 2022.02.06,7042.0,6.0,4.88,1173.71,-7.07,21.32,21.32,0.0,7.55,72.58
2022.02.07 - 2022.02.13,2348.0,2.0,5.0,1173.71,-1.22,15.44,15.4,0.04,10.58,65.18
2022.02.14 - 2022.02.20,4695.0,4.0,4.83,1173.71,-1.03,11.12,11.08,0.04,10.58,68.14
2022.02.21 - 2022.02.27,2348.0,2.0,5.0,1173.71,-0.77,5.42,5.22,0.2,7.7,65.74
2022.02.28 - 2022.03.06,4696.0,4.0,4.5,1173.71,2.01,19.21,17.88,1.33,8.83,76.22
2022.03.07 - 2022.03.13,1174.0,1.0,5.0,1173.71,-1.84,28.25,28.25,0.0,9.01,76.57
2022.03.14 - 2022.03.20,4695.0,4.0,4.83,1173.71,-5.67,42.49,42.49,0.0,12.88,75.77
2022.03.21 - 2022.03.27,3522.0,3.0,4.67,1173.71,-6.03,29.64,29.64,0.0,10.71,75.48
2022.03.28 - 2022.04.03,1174.0,1.0,5.0,1173.71,-1.66,2.92,2.92,0.0,8.31,66.87
2022.04.04 - 2022.04.10,4695.0,4.0,5.0,1173.71,7.88,0.69,0.0,0.69,10.87,48.77
2022.04.11 - 2022.04.17,4695.0,4.0,5.0,1173.71,5.51,10.84,0.0,10.84,9.02,67.54
2022.04.18 - 2022.04.24,0.0,0.0,,1173.71,3.06,20.61,20.22,0.39,9.5,67.24
2022.04.25 - 2022.05.01,4696.0,4.0,4.0,1173.71,5.33,4.38,0.0,4.38,7.78,71.31
2022.05.02 - 2022.05.08,9390.0,8.0,5.0,1173.71,6.79,8.74,0.0,8.74,8.83,73.21
2022.05.09 - 2022.05.15,18779.0,16.0,4.71,1173.71,3.73,27.64,0.0,27.64,9.95,82.38
2022.05.16 - 2022.05.22,9389.0,8.0,4.9,1173.71,7.25,0.4,0.0,0.4,6.89,65.22
2022.05.23 - 2022.05.29,12910.0,11.0,4.92,1173.71,7.9,11.43,0.0,11.43,9.06,65.87
2022.05.30 - 2022.06.05,18780.0,16.0,4.94,1173.71,10.59,9.02,0.0,9.02,7.09,71.74
2022.06.06 - 2022.06.12,15257.0,13.0,5.0,1173.71,13.56,1.27,0.0,1.27,8.59,76.3
2022.06.13 - 2022.06.19,19953.0,17.0,4.17,1173.71,13.9,26.35,0.0,26.35,7.62,79.88
2022.06.20 - 2022.06.26,18780.0,16.0,4.79,1173.71,13.77,17.32,0.0,17.32,7.71,74.96
2022.06.27 - 2022.07.03,19953.0,17.0,4.79,1173.71,12.53,18.52,0.0,18.52,8.19,73.16
2022.07.04 - 2022.07.10,24647.0,21.0,4.64,1173.71,13.54,11.86,0.0,11.86,8.7,76.56
2022.07.11 - 2022.07.17,39907.0,34.0,4.39,1173.71,15.39,1.55,0.0,1.55,8.28,72.91
2022.07.18 - 2022.07.24,83334.0,71.0,4.58,1173.71,14.26,31.84,0.0,31.84,11.22,75.5
2022.07.25 - 2022.07.31,48123.0,41.0,4.56,1173.71,13.91,8.6,0.0,8.6,10.71,71.18
2022.08.01 - 2022.08.07,61033.0,52.0,4.83,1173.71,15.74,0.09,0.0,0.09,7.81,70.36
2022.08.08 - 2022.08.14,63381.0,54.0,4.73,1173.71,17.37,7.46,0.0,7.46,8.51,75.49
2022.08.15 - 2022.08.21,57513.0,49.0,4.66,1173.71,17.45,1.8,0.0,1.8,8.02,74.36
2022.08.22 - 2022.08.28,63380.0,54.0,4.75,1173.71,17.6,10.57,0.0,10.57,7.39,76.09
2022.08.29 - 2022.09.04,89201.0,76.0,4.78,1173.71,19.14,3.04,0.0,3.04,7.78,73.36
2022.09.05 - 2022.09.11,56339.0,48.0,4.53,1173.71,18.16,23.81,0.0,23.81,9.57,74.91
2022.09.12 - 2022.09.18,48123.0,41.0,4.69,1173.71,12.59,14.45,0.0,14.45,7.96,67.8
2022.09.19 - 2022.09.25,24648.0,21.0,4.64,1173.71,14.6,19.73,0.0,19.73,8.94,66.11
2022.09.26 - 2022.10.02,29345.0,25.0,4.66,1173.71,9.71,42.1,0.0,42.1,8.59,75.38
2022.10.03 - 2022.10.09,25821.0,22.0,4.86,1173.71,12.56,13.77,0.0,13.77,7.67,66.72
2022.10.10 - 2022.10.16,11736.0,10.0,4.93,1173.71,9.05,42.68,0.0,42.68,8.6,80.4
2022.10.17 - 2022.10.23,12911.0,11.0,4.65,1173.71,8.3,7.94,0.0,7.94,6.84,80.6
2022.10.24 - 2022.10.30,9390.0,8.0,5.0,1173.71,6.54,24.54,0.0,24.54,9.0,76.95
2022.10.31 - 2022.11.06,9390.0,8.0,4.9,1173.71,4.83,3.39,0.0,3.39,6.41,75.63
2022.11.07 - 2022.11.13,5869.0,5.0,5.0,1173.71,4.7,11.63,0.0,11.63,6.22,74.37
2022.11.14 - 2022.11.20,8216.0,7.0,4.6,1173.71,3.54,6.89,0.0,6.89,5.0,83.58
2022.11.21 - 2022.11.27,7042.0,6.0,4.89,1173.71,6.83,1.96,0.0,1.96,9.18,62.5
2022.11.28 - 2022.12.04,8217.0,7.0,4.8,1173.71,4.8,45.62,0.0,45.62,8.62,73.04
2022.12.05 - 2022.12.11,3522.0,3.0,5.0,1173.71,2.1,7.48,0.8,6.68,5.35,85.72
2022.12.12 - 2022.12.18,5869.0,5.0,4.75,1173.71,2.53,1.67,0.31,1.36,8.39,71.71
2022.12.19 - 2022.12.25,4696.0,4.0,4.75,1173.71,3.44,28.6,22.59,6.01,8.44,81.21
2022.12.26 - 2023.01.01,3522.0,3.0,5.0,1173.71,-2.02,6.25,6.25,0.0,7.0,74.59
2023.01.02 - 2023.01.08,4696.0,4.0,4.75,1184.11,-1.57,7.18,7.18,0.0,7.06,70.07
2023.01.09 - 2023.01.15,1210.0,1.0,5.0,1210.12,-2.53,14.24,14.24,0.0,6.7,76.06
2023.01.16 - 2023.01.22,2420.0,2.0,4.5,1210.12,-2.06,0.0,0.0,0.0,8.73,66.69
2023.01.23 - 2023.01.29,2420.0,2.0,5.0,1210.12,1.1,0.0,0.0,0.0,9.65,63.09
2023.01.30 - 2023.02.05,2420.0,2.0,4.0,1210.12,-1.03,14.81,13.56,1.25,9.36,74.73
2023.02.06 - 2023.02.12,1210.0,1.0,5.0,1210.12,-4.16,45.26,45.26,0.0,11.74,77.33
2023.02.13 - 2023.02.19,1210.0,1.0,5.0,1210.12,-6.42,28.74,28.74,0.0,14.46,76.21
2023.02.20 - 2023.02.26,2420.0,2.0,4.5,1210.12,-3.08,28.97,26.25,2.72,14.86,65.41
2023.02.27 - 2023.03.05,4840.0,4.0,5.0,1210.12,1.56,4.26,4.26,0.0,13.58,60.02
2023.03.06 - 2023.03.12,6050.0,5.0,5.0,1210.12,2.5,29.64,14.64,15.0,9.82,79.19
2023.03.13 - 2023.03.19,4840.0,4.0,4.75,1210.12,3.54,29.88,22.16,7.72,12.59,65.35
2023.03.20 - 2023.03.26,2420.0,2.0,5.0,1210.12,1.06,35.37,33.32,2.05,11.46,84.74
2023.03.27 - 2023.04.02,0.0,0.0,,1210.12,2.48,7.35,6.89,0.46,8.38,79.9
2023.04.03 - 2023.04.09,0.0,0.0,,1210.12,0.95,43.88,29.31,14.57,13.66,70.45
2023.04.10 - 2023.04.16,0.0,0.0,,1210.12,4.27,26.96,15.92,11.04,10.85,76.25
2023.04.17 - 2023.04.23,3630.0,3.0,5.0,1210.12,5.76,32.88,0.0,32.88,8.87,75.81
2023.04.24 - 2023.04.30,15730.0,13.0,4.28,1210.12,5.94,36.23,0.0,36.23,10.58,78.56
2023.05.01 - 2023.05.07,12100.0,10.0,5.0,1210.12,5.08,27.75,0.0,27.75,9.72,77.7
2023.05.08 - 2023.05.14,4840.0,4.0,5.0,1210.12,5.91,13.47,0.0,13.47,10.27,76.57
2023.05.15 - 2023.05.21,13310.0,11.0,4.75,1210.12,5.63,20.54,0.0,20.54,10.11,81.25
2023.05.22 - 2023.05.28,8470.0,7.0,4.7,1210.12,8.35,20.16,0.0,20.16,8.46,78.29
2023.05.29 - 2023.06.04,14520.0,12.0,4.58,1210.12,10.14,10.13,0.0,10.13,9.0,83.51
2023.06.05 - 2023.06.11,14521.0,12.0,4.76,1210.12,11.79,32.78,0.0,32.78,10.18,82.16
2023.06.12 - 2023.06.18,8470.0,7.0,5.0,1210.12,12.36,17.9,0.0,17.9,9.06,82.78
2023.06.19 - 2023.06.25,21782.0,18.0,4.64,1210.12,12.77,42.85,0.0,42.85,8.58,83.06
2023.06.26 - 2023.07.02,29042.0,24.0,4.79,1210.12,13.1,18.35,0.0,18.35,12.22,77.79
2023.07.03 - 2023.07.09,93179.0,77.0,4.49,1210.12,14.07,9.34,0.0,9.34,9.56,72.3
2023.07.10 - 2023.07.16,75028.0,62.0,4.83,1210.12,15.33,37.77,0.0,37.77,10.49,76.36
2023.07.17 - 2023.07.23,71397.0,59.0,4.84,1210.12,15.36,7.66,0.0,7.66,10.06,70.24
2023.07.24 - 2023.07.30,68976.0,57.0,4.58,1210.12,15.53,6.82,0.0,6.82,9.23,70.47
2023.07.31 - 2023.08.06,68978.0,57.0,4.3,1210.12,15.42,3.88,0.0,3.88,10.72,69.88
2023.08.07 - 2023.08.13,73818.0,61.0,4.49,1210.12,18.41,0.09,0.0,0.09,8.95,70.78
2023.08.14 - 2023.08.20,65347.0,54.0,4.66,1210.12,18.03,16.47,0.0,16.47,12.01,77.17
2023.08.21 - 2023.08.27,75027.0,62.0,4.77,1210.12,18.28,0.24,0.0,0.24,8.24,72.49
2023.08.28 - 2023.09.03,73817.0,61.0,4.76,1210.12,16.48,0.94,0.0,0.94,9.58,70.1
2023.09.04 - 2023.09.10,45982.0,38.0,4.5,1210.12,17.33,21.63,0.0,21.63,13.94,70.43
2023.09.11 - 2023.09.17,55667.0,46.0,4.76,1210.12,13.95,5.64,0.0,5.64,12.21,71.55
2023.09.18 - 2023.09.24,22992.0,19.0,4.83,1210.12,10.65,2.3,0.0,2.3,10.44,71.77
2023.09.25 - 2023.10.01,30252.0,25.0,4.59,1210.12,12.52,0.03,0.0,0.03,7.54,73.32
2023.10.02 - 2023.10.08,18150.0,15.0,4.73,1210.12,12.58,40.77,0.0,40.77,8.93,77.23
2023.10.09 - 2023.10.15,13310.0,11.0,5.0,1210.12,8.24,14.93,0.0,14.93,9.63,74.59
2023.10.16 - 2023.10.22,7260.0,6.0,4.9,1210.12,6.78,9.52,0.0,9.52,8.06,74.18
2023.10.23 - 2023.10.29,10890.0,9.0,4.88,1210.12,7.68,27.5,0.0,27.5,8.5,75.05
2023.10.30 - 2023.11.05,7260.0,6.0,4.7,1210.12,11.19,1.16,0.0,1.16,9.04,65.88
2023.11.06 - 2023.11.12,9680.0,8.0,4.92,1210.12,10.27,2.48,0.0,2.48,9.89,69.67
2023.11.13 - 2023.11.19,6050.0,5.0,5.0,1210.12,8.48,14.64,0.0,14.64,11.21,68.07
2023.11.20 - 2023.11.26,8470.0,7.0,5.0,1210.12,4.97,47.92,0.0,47.92,14.47,71.16
2023.11.27 - 2023.12.03,4840.0,4.0,5.0,1210.12,5.06,29.02,11.54,17.48,16.47,63.47
2023.12.04 - 2023.12.10,6050.0,5.0,5.0,1210.12,4.39,7.15,0.0,7.15,13.09,61.42
2023.12.11 - 2023.12.17,2420.0,2.0,4.5,1210.12,3.06,11.62,3.1,8.52,9.2,81.62
2023.12.18 - 2023.12.24,4840.0,4.0,4.5,1210.12,1.15,26.49,21.41,5.08,9.92,79.02
2023.12.25 - 2023.12.31,2420.0,2.0,5.0,1210.12,1.44,23.97,16.82,7.15,13.31,66.85
2024.01.01 - 2024.01.07,0.0,0.0,,1232.5,0.99,0.23,0.23,0.0,9.22,70.31
2024.01.08 - 2024.01.14,5467.0,4.0,5.0,1366.74,2.76,23.61,1.89,21.72,13.19,70.13
2024.01.15 - 2024.01.21,4100.0,3.0,5.0,1366.74,-3.22,19.37,10.78,8.59,12.19,74.99
2024.01.22 - 2024.01.28,1367.0,1.0,5.0,1366.74,1.7,36.08,28.2,7.88,15.24,72.41
2024.01.29 - 2024.02.04,2734.0,2.0,5.0,1366.74,-4.16,14.95,14.95,0.0,9.79,73.75
2024.02.05 - 2024.02.11,2734.0,2.0,4.5,1366.74,-2.75,4.26,4.26,0.0,8.95,72.48
2024.02.12 - 2024.02.18,2734.0,2.0,5.0,1366.74,4.98,3.24,0.0,3.24,13.83,57.36
2024.02.19 - 2024.02.25,5467.0,4.0,4.5,1366.74,2.36,14.62,9.88,4.74,11.14,75.76
2024.02.26 - 2024.03.03,5467.0,4.0,5.0,1366.74,-0.08,5.86,5.86,0.0,8.44,72.0
2024.03.04 - 2024.03.10,5468.0,4.0,4.5,1366.74,1.49,2.42,0.19,2.23,8.47,66.76
2024.03.11 - 2024.03.17,1367.0,1.0,5.0,1366.74,0.41,14.99,9.52,5.47,10.13,76.2
2024.03.18 - 2024.03.24,1367.0,1.0,2.0,1366.74,2.72,9.12,3.01,6.11,9.19,75.32
2024.03.25 - 2024.03.31,1367.0,1.0,5.0,1366.74,-0.25,27.97,27.66,0.31,11.34,77.13
2024.04.01 - 2024.04.07,1367.0,1.0,5.0,1366.74,5.42,11.53,0.0,11.53,10.36,67.57
2024.04.08 - 2024.04.14,5468.0,4.0,4.75,1366.74,5.58,1.99,0.0,1.99,10.76,67.78
2024.04.15 - 2024.04.21,28700.0,21.0,4.36,1366.74,5.96,7.46,0.0,7.46,8.59,79.03
2024.04.22 - 2024.04.28,9567.0,7.0,4.4,1366.74,10.87,1.63,0.0,1.63,11.86,59.53
2024.04.29 - 2024.05.05,15033.0,11.0,4.9,1366.74,11.72,3.69,0.0,3.69,10.25,67.95
2024.05.06 - 2024.05.12,6834.0,5.0,4.88,1366.74,6.19,38.6,0.0,38.6,11.95,82.86
2024.05.13 - 2024.05.19,4101.0,3.0,4.67,1366.74,7.63,24.36,0.0,24.36,11.29,71.5
2024.05.20 - 2024.05.26,13667.0,10.0,4.8,1366.74,6.29,6.36,0.0,6.36,8.89,72.89
2024.05.27 - 2024.06.02,10935.0,8.0,4.71,1366.74,9.75,21.27,0.0,21.27,9.45,76.84
2024.06.03 - 2024.06.09,13668.0,10.0,4.5,1366.74,12.53,12.86,0.0,12.86,8.12,74.13
2024.06.10 - 2024.06.16,30069.0,22.0,4.52,1366.74,15.09,2.68,0.0,2.68,8.26,68.85
2024.06.17 - 2024.06.23,23234.0,17.0,4.84,1366.74,16.57,3.19,0.0,3.19,9.22,65.23
2024.06.24 - 2024.06.30,92938.0,68.0,4.66,1366.74,15.42,2.76,0.0,2.76,9.91,72.85
2024.07.01 - 2024.07.07,61503.0,45.0,4.7,1366.74,14.7,18.18,0.0,18.18,13.67,71.08
2024.07.08 - 2024.07.14,49202.0,36.0,4.93,1366.74,16.27,19.94,0.0,19.94,14.16,73.06
2024.07.15 - 2024.07.21,58771.0,43.0,4.37,1366.74,17.34,4.89,0.0,4.89,10.48,76.28
2024.07.22 - 2024.07.28,66971.0,49.0,4.49,1366.74,18.28,10.23,0.0,10.23,10.53,73.11
2024.07.29 - 2024.08.04,83370.0,61.0,4.46,1366.74,17.41,30.92,0.0,30.92,11.6,72.09
2024.08.05 - 2024.08.11,84738.0,62.0,4.3,1366.74,15.97,4.19,0.0,4.19,10.42,67.86
2024.08.12 - 2024.08.18,79271.0,58.0,4.62,1366.74,16.99,5.24,0.0,5.24,11.61,70.97
2024.08.19 - 2024.08.25,60136.0,44.0,4.53,1366.74,16.06,1.65,0.0,1.65,9.69,64.87
2024.08.26 - 2024.09.01,62870.0,46.0,4.44,1366.74,17.36,36.42,0.0,36.42,12.32,73.66
2024.09.02 - 2024.09.08,75170.0,55.0,4.15,1366.74,16.83,0.52,0.0,0.52,9.08,74.75
2024.09.09 - 2024.09.15,57403.0,42.0,4.41,1366.74,15.56,11.56,0.0,11.56,8.88,76.76
2024.09.16 - 2024.09.22,32802.0,24.0,4.37,1366.74,16.6,2.99,0.0,2.99,10.25,68.33
2024.09.23 - 2024.09.29,24601.0,18.0,4.47,1366.74,11.76,52.96,0.0,52.96,10.39,78.98
2024.09.30 - 2024.10.06,20500.0,15.0,4.74,1366.74,12.07,13.42,0.0,13.42,8.88,72.39
2024.10.07 - 2024.10.13,13666.0,10.0,4.63,1366.74,11.18,19.99,0.0,19.99,8.9,69.7
2024.10.14 - 2024.10.20,13668.0,10.0,3.71,1366.74,11.75,21.23,0.0,21.23,8.29,76.18
2024.10.21 - 2024.10.27,5467.0,4.0,5.0,1366.74,5.19,53.53,0.0,53.53,17.3,75.6
2024.10.28 - 2024.11.03,4100.0,3.0,4.75,1366.74,3.85,26.43,0.0,26.43,8.41,79.49
2024.11.04 - 2024.11.10,10934.0,8.0,4.75,1366.74,3.74,7.95,0.27,7.68,8.09,77.29
2024.11.11 - 2024.11.17,5467.0,4.0,5.0,1366.74,0.86,10.44,10.44,0.0,7.91,76.51
2024.11.18 - 2024.11.24,6834.0,5.0,4.88,1366.74,2.54,14.31,0.18,14.13,7.63,82.5
2024.11.25 - 2024.12.01,8200.0,6.0,4.25,1366.74,3.42,70.15,58.04,12.11,16.9,75.43
2024.12.02 - 2024.12.08,8201.0,6.0,4.0,1366.74,-3.58,14.5,14.5,0.0,10.23,72.58
2024.12.09 - 2024.12.15,4101.0,3.0,4.67,1366.74,-0.65,2.68,1.68,1.0,8.19,74.64
2024.12.16 - 2024.12.22,1367.0,1.0,5.0,1366.74,-1.08,13.82,13.82,0.0,13.22,70.21
2024.12.23 - 2024.12.29,1367.0,1.0,4.0,1366.74,0.26,1.44,0.32,1.12,9.39,71.26
2024.12.30 - 2025.01.05,4100.0,3.0,5.0,1366.74,1.75,16.11,13.49,2.62,11.96,72.52
2025.01.06 - 2025.01.12,1413.0,1.0,5.0,1406.15,-1.37,17.2,16.75,0.45,9.44,72.91
2025.01.13 - 2025.01.19,4239.0,3.0,4.33,1412.71,0.1,3.06,0.15,2.91,8.45,71.45
2025.01.20 - 2025.01.26,4238.0,3.0,5.0,1412.71,-1.36,23.5,23.5,0.0,10.82,81.97
2025.01.27 - 2025.02.02,2826.0,2.0,5.0,1412.71,-0.79,5.93,5.93,0.0,8.08,74.6
2025.02.03 - 2025.02.09,7064.0,5.0,4.75,1412.71,-0.89,0.12,0.12,0.0,7.52,66.35
2025.02.10 - 2025.02.16,1413.0,1.0,5.0,1412.71,-4.28,38.66,38.66,0.0,13.71,80.68
2025.02.17 - 2025.02.23,2826.0,2.0,5.0,1412.71,-1.85,16.77,16.77,0.0,11.09,73.74
2025.02.24 - 2025.03.02,1413.0,1.0,5.0,1412.71,-8.22,49.28,49.28,0.0,15.84,77.52
2025.03.03 - 2025.03.09,1413.0,1.0,5.0,1412.71,-4.12,10.46,10.46,0.0,9.66,71.91
2025.03.10 - 2025.03.16,4238.0,3.0,5.0,1412.71,0.14,0.92,0.92,0.0,7.6,67.73
2025.03.17 - 2025.03.23,2826.0,2.0,5.0,1412.71,9.39,0.0,0.0,0.0,11.79,49.12
2025.03.24 - 2025.03.30,0.0,0.0,,1412.71,-0.99,5.21,4.04,1.17,15.19,72.7
2025.03.31 - 2025.04.06,4239.0,3.0,5.0,1412.71,7.33,7.51,0.0,7.51,9.35,67.98
2025.04.07 - 2025.04.13,14127.0,10.0,4.81,1412.71,5.01,21.81,0.0,21.81,9.51,76.29
2025.04.14 - 2025.04.20,5651.0,4.0,3.67,1412.71,-1.8,54.89,54.89,0.0,13.45,76.29
2025.04.21 - 2025.04.27,11301.0,8.0,4.9,1412.71,3.6,12.29,4.78,7.51,9.53,78.56
2025.04.28 - 2025.05.04,11302.0,8.0,4.56,1412.71,5.09,20.1,0.0,20.1,8.99,79.26
2025.05.05 - 2025.05.11,14127.0,10.0,4.0,1412.71,4.05,32.36,0.16,32.2,9.34,77.11
2025.05.12 - 2025.05.18,19778.0,14.0,4.72,1412.71,8.73,25.43,0.0,25.43,9.75,77.21
2025.05.19 - 2025.05.25,24015.0,17.0,4.6,1412.71,7.93,18.19,0.0,18.19,10.37,70.33
2025.05.26 - 2025.06.01,22604.0,16.0,4.38,1412.71,11.51,0.0,0.0,0.0,8.41,63.62
2025.06.02 - 2025.06.08,22603.0,16.0,4.0,1412.71,10.13,18.26,0.0,18.26,9.82,73.64
2025.06.09 - 2025.06.15,46619.0,33.0,4.63,1412.71,12.03,12.27,0.0,12.27,7.81,68.19
2025.06.16 - 2025.06.22,56509.0,40.0,4.71,1412.71,13.38,3.65,0.0,3.65,10.52,69.04
2025.06.23 - 2025.06.29,28254.0,20.0,4.66,1412.71,12.63,1.43,0.0,1.43,9.23,62.62
2025.06.30 - 2025.07.06,33906.0,24.0,4.69,1412.71,13.53,16.88,0.0,16.88,9.69,61.96
2025.07.07 - 2025.07.13,49445.0,35.0,4.58,1412.71,13.24,24.09,0.0,24.09,11.21,69.61
2025.07.14 - 2025.07.20,84763.0,60.0,4.72,1412.71,17.94,0.8,0.0,0.8,10.15,66.91
2025.07.21 - 2025.07.27,84764.0,60.0,4.71,1412.71,17.84,2.91,0.0,2.91,11.08,65.23
2025.07.28 - 2025.08.03,104541.0,74.0,4.66,1412.71,18.9,0.97,0.0,0.97,9.66,65.79
2025.08.04 - 2025.08.10,105954.0,75.0,4.58,1412.71,19.43,14.85,0.0,14.85,14.22,70.34
2025.08.11 - 2025.08.17,90413.0,64.0,4.48,1412.71,18.61,6.65,0.0,6.65,12.4,67.63
2025.08.18 - 2025.08.24,91826.0,65.0,4.68,1412.71,16.81,0.28,0.0,0.28,9.17,62.17
2025.08.25 - 2025.08.31,89000.0,63.0,4.66,1412.71,16.9,18.58,0.0,18.58,12.93,67.23
2025.09.01 - 2025.09.07,63572.0,45.0,4.42,1412.71,15.0,1.6,0.0,1.6,9.88,71.84
2025.09.08 - 2025.09.14,64985.0,46.0,4.86,1412.71,15.07,22.94,0.0,22.94,11.32,77.53
2025.09.15 - 2025.09.21,39555.0,28.0,4.74,1412.71,12.81,4.76,0.0,4.76,10.01,72.64
2025.09.22 - 2025.09.28,33905.0,24.0,4.78,1412.71,10.39,30.05,0.0,30.05,14.8,73.97
2025.09.29 - 2025.10.05,18364.0,13.0,4.92,1412.71,9.72,4.31,0.0,4.31,10.51,71.63
2025.10.06 - 2025.10.12,24015.0,17.0,4.86,1412.71,9.78,23.66,0.0,23.66,9.28,78.43
2025.10.13 - 2025.10.19,16953.0,12.0,4.79,1412.71,8.17,25.9,0.0,25.9,10.4,73.88
2025.10.20 - 2025.10.26,16951.0,12.0,4.86,1412.71,6.34,19.5,0.0,19.5,8.71,78.18
2025.10.27 - 2025.11.02,12713.0,9.0,4.7,1412.71,7.77,8.74,0.0,8.74,9.79,76.69
2025.11.03 - 2025.11.09,8476.0,6.0,4.88,1412.71,5.29,20.45,0.0,20.45,9.12,75.42
2025.11.10 - 2025.11.16,11302.0,8.0,5.0,1412.71,6.11,0.08,0.0,0.08,6.77,77.37
2025.11.17 - 2025.11.23,7064.0,5.0,5.0,1412.71,4.19,67.62,0.0,67.62,11.31,81.59
2025.11.24 - 2025.11.30,9889.0,7.0,5.0,1412.71,5.97,0.18,0.0,0.18,11.36,60.67
2025.12.01 - 2025.12.07,9889.0,7.0,4.8,1412.71,4.0,5.88,0.0,5.88,9.27,71.87
2025.12.08 - 2025.12.14,2826.0,2.0,5.0,1412.71,2.29,6.48,0.12,6.36,9.71,76.21
2025.12.15 - 2025.12.21,1413.0,1.0,5.0,1412.71,1.23,49.43,27.28,22.15,11.18,84.48
2025.12.22 - 2025.12.28,5651.0,4.0,4.83,1412.71,-2.08,17.75,17.75,0.0,8.33,78.14
2025.12.29 - 2026.01.04,1413.0,1.0,5.0,1412.71,-1.88,19.85,19.85,0.0,11.7,80.76
2026.01.05 - 2026.01.11,1413.0,1.0,5.0,1412.71,-3.08,16.5,16.5,0.0,20.48,62.58
